index,u_p0,u_p1,u_p2,v_p0,v_p1,v_p2,w_p0,w_p1,w_p2
k,0,0,0,1,1,1,2,2,2
x,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    15.50,    6.6009,    9.0579,    9.0263,    0.2869,    1.4256,    0.2320,    0.1700,    0.3050,   -0.2200
    15.60,    6.1870,    9.1000,    8.9350,    0.4961,    1.4308,    0.5699,    0.1400,    0.4200,    0.0500
    15.70,    6.4249,    8.9192,    8.9187,    0.1833,    1.5974,    0.7602,    0.3400,    0.1150,    0.1600
    15.80,    6.6115,    8.8890,    9.0758,   -0.6985,    1.5830,    0.4091,    0.4300,    0.0800,    0.0600
    15.90,    6.8208,    8.9191,    9.0758,   -0.6336,    1.5404,    0.4091,    0.5750,   -0.0000,   -0.0300
    16.00,    6.6960,    8.8350,    9.1411,   -0.1681,    1.3840,    0.5738,    0.6800,    0.0600,    0.1200
    16.10,    6.6265,    8.9195,    9.3078,   -0.6468,    1.5084,    0.2025,    0.8100,    0.0150,   -0.0700
    16.20,    6.7465,    8.9136,    9.2389,    0.0590,    1.6145,    0.7639,    0.6100,    0.0300,   -0.0200
    16.30,    7.0990,    8.9008,    9.3332,    0.6401,    1.5738,    0.5760,    0.2500,    0.0650,   -0.0500
    16.40,    6.5847,    8.8621,    9.2930,    0.2742,    1.7436,    0.2648,   -0.0700,    0.0200,   -0.0200
    16.50,    6.3466,    8.8430,    9.1689,    0.6760,    1.6379,    0.4633,   -0.1900,    0.0350,    0.0500
    16.60,    5.9695,    8.8030,    9.3768,    0.5264,    1.5867,    0.0471,   -0.0500,    0.0400,   -0.1400
    16.70,    5.7250,    8.7583,    9.5021,    0.6032,    1.6026,    0.0126,   -0.0350,    0.0350,   -0.1200
    16.80,    5.4682,    8.8047,    9.5006,    0.6643,    1.5727,   -0.2654,   -0.0200,   -0.0900,   -0.1200
    16.90,    5.4213,    8.8035,    9.5624,    1.2783,    1.6117,   -0.0726,   -0.1350,   -0.0150,   -0.0600
    17.00,    5.7489,    8.8047,    9.6033,    1.1048,    1.5727,   -0.2314,    0.3100,   -0.1000,   -0.0800
    17.10,    6.2470,    8.6860,    9.5149,    0.6459,    1.6400,   -0.1497,    0.5250,   -0.0650,    0.2000
    17.20,    6.3722,    8.7050,    9.5312,    0.9605,    1.6886,    0.0660,    0.5800,   -0.1300,    0.0400
    17.30,    6.5692,    8.7501,    9.8050,    0.8066,    1.6407,   -0.2494,    0.3300,   -0.1700,   -0.0700
    17.40,    6.5029,    8.7198,    9.7575,    0.9979,    1.6263,   -0.3265,    0.2200,   -0.1100,   -0.0900
    17.50,    6.5357,    8.6758,    9.4760,    1.1373,    1.7812,    0.1091,    0.2500,   -0.1450,    0.1400
    17.60,    7.1656,    8.7129,    9.5218,    1.2289,    1.6825,    0.2002,    0.3200,   -0.1400,    0.2200
    17.70,    7.3672,    8.6161,    9.5622,    1.7630,    1.7454,   -0.1866,    0.1500,   -0.1150,   -0.0700
    17.80,    6.9285,    8.6745,    9.4622,    2.2898,    1.7633,    0.2214,    0.4700,   -0.0700,    0.0300
    17.90,    6.9856,    8.7261,    9.5122,    2.1436,    1.8943,    0.2204,    0.1750,   -0.1950,   -0.0500
    18.00,    7.2334,    8.8818,    9.5474,    2.1278,    1.9312,   -0.1243,    0.1800,   -0.1100,   -0.1300
    18.10,    6.7333,    8.8480,    9.4201,    1.6745,    1.8879,    0.2163,    0.3250,   -0.1700,    0.0800
    18.20,    6.9155,    8.7868,    9.2957,    2.7441,    1.7770,    0.3007,    0.4700,   -0.2300,    0.1700
    18.30,    6.4084,    8.8633,    9.3226,    1.8840,    1.7045,    0.1402,   -0.0550,   -0.1700,    0.1100
    18.40,    6.2895,    8.8954,    9.3758,    1.6343,    1.7049,   -0.4090,   -0.1900,   -0.0500,   -0.2200
    18.50,    6.2024,    8.8874,    9.0569,    1.7340,    1.6540,    0.1574,   -0.3550,   -0.1400,    0.1300
    18.60,    6.2266,    8.9673,    9.1359,    0.9854,    1.6995,   -0.1962,   -0.5700,   -0.0900,   -0.1600
    18.70,    5.8653,    8.9010,    8.9581,    0.9695,    1.6878,   -0.0827,   -0.3600,   -0.1450,   -0.0400
    18.80,    5.6839,    8.9409,    9.0514,    1.0541,    1.6820,    0.0855,   -0.1300,   -0.1800,    0.0300
    18.90,    5.8245,    8.9380,    9.0554,    1.1854,    1.7351,   -0.1206,   -0.3850,   -0.1300,   -0.0900
    19.00,    6.0939,    8.8619,    8.9992,    1.2541,    1.6295,   -0.1275,   -0.9600,   -0.0900,   -0.0400
    19.10,    5.9750,    8.9046,    8.9909,    1.2074,    1.7167,    0.0567,   -0.8400,   -0.1100,    0.0000
    19.20,    5.4573,    8.9089,    9.0015,    1.3326,    1.8847,    0.0865,   -0.7500,   -0.1700,    0.0600
    19.30,    5.5346,    8.9359,    8.9857,    1.5451,    1.7811,    0.0988,   -0.8350,   -0.1600,   -0.0200
    19.40,    5.2798,    8.9614,    9.0566,    1.1541,    1.8056,    0.0434,   -0.5900,   -0.2400,    0.0200
    19.50,    5.2432,    8.9291,    8.9485,    1.4809,    1.6912,   -0.0625,   -0.4450,   -0.2350,    0.2100
    19.60,    5.8523,    8.8892,    9.0101,    0.6687,    1.6970,   -0.3898,    0.1700,   -0.1800,   -0.0300
    19.70,    6.2231,    8.8431,    9.0822,    1.1595,    1.6949,   -0.2812,   -0.4250,   -0.2150,   -0.0200
    19.80,    6.4729,    8.8033,    8.9335,    0.4884,    1.7007,   -0.5203,   -1.2300,   -0.2300,   -0.2700
    19.90,    6.1352,    8.8094,    8.8254,    0.6571,    1.7086,   -0.2201,   -1.1750,   -0.1050,   -0.0200
    20.00,    6.5212,    8.9429,    9.1071,    1.3136,    1.7820,   -0.1356,   -0.9800,   -0.0600,   -0.1500
    20.10,    6.4405,    8.9429,    9.0194,    1.3322,    1.7820,   -0.1179,   -0.8400,   -0.1100,   -0.1200
    20.20,    5.6967,    8.8471,    9.2504,    0.8918,    1.6918,   -0.3745,   -0.6900,   -0.1200,   -0.2600
    20.30,    5.9410,    8.9254,    9.2443,    0.9040,    1.8083,   -0.3824,   -0.7250,   -0.0500,   -0.2100
    20.40,    5.9188,    8.8912,    9.1815,    0.5914,    1.7970,    0.1870,   -0.5400,   -0.1200,    0.0200
    20.50,    5.9145,    8.9131,    9.1381,    1.0325,    1.7926,    0.0178,   -0.4800,   -0.0950,   -0.0200
    20.60,    6.5416,    8.8148,    9.0620,    1.0312,    1.7805,    0.1153,   -0.3500,   -0.0500,    0.0500
    20.70,    6.4623,    8.8415,    8.9778,    1.4738,    1.7660,    0.1050,   -0.4500,   -0.0850,    0.2600
    20.80,    7.0388,    8.7855,    8.9015,    1.3914,    1.6130,   -0.3176,   -0.1300,   -0.0900,    0.3200
