index,u_p0,u_p1,u_p2,v_p0,v_p1,v_p2,w_p0,w_p1,w_p2
k,0,0,0,1,1,1,2,2,2
    10.80,    7.4060,    8.3378,    7.3722,    0.4320,    0.2116,   -0.9756,   -0.3400,   -0.3400,   -0.3800
    10.90,    7.0339,    8.2686,    7.4090,    0.7354,    0.2530,   -0.9853,   -0.4500,   -0.3300,   -0.4000
    11.00,    6.6630,    8.1526,    7.3722,    0.3907,    0.1532,   -0.9756,   -0.6700,   -0.3600,   -0.4200
    11.10,    7.3808,    8.2156,    7.3654,    0.5785,    0.1040,   -0.8624,   -0.3800,   -0.3200,   -0.4550
    11.20,    7.3831,    8.2218,    7.4357,    0.3865,    0.1119,   -0.7968,   -0.3700,   -0.4000,   -0.4400
    11.30,    7.4092,    8.0612,    7.4381,    0.2899,    0.0850,   -0.7288,   -0.4300,   -0.4200,   -0.3000
    11.40,    7.4033,    8.2395,    7.3803,    0.3961,    0.1995,   -0.8677,   -0.3200,   -0.3300,   -0.3200
    11.50,    7.2358,    8.3304,    7.3066,    0.4254,    0.0397,   -0.9053,   -0.5700,   -0.4400,    0.0100
    11.60,    7.2644,    8.3375,    7.2619,    0.2508,    0.0976,   -0.8894,   -0.6100,   -0.2300,    0.0400
    11.70,    7.3028,    8.1332,    7.1939,    0.1700,    0.0796,   -0.8871,   -0.5800,   -0.1900,    0.0550
    11.80,    7.3207,    8.1061,    7.4402,   -0.0344,    0.1262,   -0.7749,   -0.6600,   -0.3400,   -0.1000
    11.90,    7.5094,    7.8482,    7.5826,   -0.0041,    0.1372,   -1.0067,   -0.5300,   -0.1400,    0.0300
    12.00,    7.4919,    7.8573,    7.4845,    0.0222,   -0.1110,   -0.9618,   -0.5400,    0.0400,    0.0300
    12.10,    7.2449,    7.7554,    7.1427,    0.1771,   -0.0060,   -1.2531,   -0.6800,   -0.0500,    0.0950
    12.20,    7.0856,    7.9603,    7.2818,    0.3143,    0.0370,   -1.3999,   -0.8300,   -0.0200,   -0.0600
    12.30,    7.2126,    8.0078,    7.4587,   -0.1403,    0.1141,   -1.3034,   -0.8000,   -0.3500,   -0.0150
    12.40,    7.3995,    7.9989,    7.3025,   -0.0960,    0.0703,   -1.1622,   -1.1800,   -0.0700,    0.2100
    12.50,    7.4715,    7.9524,    7.5862,   -0.1014,    0.0432,   -1.1809,   -1.1200,    0.1600,    0.0250
    12.60,    7.3744,    7.7234,    7.6670,    0.0506,   -0.0063,   -1.3455,   -1.2400,    0.0200,   -0.1000
    12.70,    7.3567,    7.9590,    7.8429,   -0.0371,   -0.5331,   -1.0959,   -0.8700,    0.0700,    0.1050
    12.80,    7.3862,    8.0201,    8.2646,   -0.1617,   -0.2762,   -1.1652,   -0.9700,   -0.0700,    0.4700
    12.90,    7.2097,    7.9539,    8.2159,   -0.2902,   -0.0849,   -1.4063,   -0.9300,    0.0500,    0.4450
    13.00,    7.3222,    8.0117,    8.1607,   -0.1624,   -0.0920,   -1.3632,   -0.7400,   -0.0900,    0.3900
    13.10,    7.4205,    8.0110,    8.2118,    0.2557,   -0.2310,   -1.2572,   -1.0300,   -0.0750,    0.2800
    13.20,    7.4276,    7.8211,    8.1999,    0.3136,   -0.6284,   -1.1019,   -0.9400,   -0.3200,    0.2400
    13.30,    7.1183,    7.8948,    8.2523,    0.0476,   -0.6478,   -1.1810,   -0.9400,   -0.4400,    0.1900
    13.40,    6.9578,    7.8514,    8.3250,   -0.3853,   -0.4109,   -1.2504,   -0.9000,   -0.2300,    0.2200
    13.50,    6.7568,    7.9211,    8.3200,   -0.0253,   -0.2243,   -1.0943,   -0.9800,   -0.2300,    0.1850
    13.60,    6.8002,    8.0273,    8.2715,    0.1439,   -0.2184,   -1.2214,   -1.1300,   -0.2100,    0.4900
    13.70,    6.8199,    8.2102,    8.5137,   -0.0745,   -0.3740,   -0.9601,   -1.0700,   -0.0400,    0.3300
    13.80,    6.6975,    8.0849,    8.4740,    0.1099,   -0.3395,   -0.8973,   -1.3100,   -0.1600,    0.0200
    13.90,    6.7689,    8.1492,    8.4597,   -0.1235,   -0.2248,   -1.0130,   -1.1500,   -0.3000,   -0.1200
    14.00,    6.5160,    8.3151,    8.4877,   -0.6746,   -0.1260,   -1.0096,   -1.3200,   -0.4500,   -0.0500
    14.10,    6.1990,    8.3452,    8.4414,   -0.0083,   -0.2256,   -1.1257,   -1.3300,   -0.5100,    0.1800
    14.20,    5.7661,    8.4614,    8.4582,   -0.2538,   -0.2149,   -0.8850,   -1.2400,   -0.4300,    0.2000
    14.30,    5.9294,    8.6427,    8.5045,   -0.1910,    0.0496,   -1.1750,   -0.6000,   -0.5200,    0.1100
    14.40,    5.5334,    8.3782,    8.4584,   -0.3892,   -0.1753,   -1.1771,   -0.3200,   -0.5000,   -0.0300
    14.50,    5.7058,    8.4062,    8.5021,   -0.1686,   -0.5779,   -1.0399,   -0.0900,   -0.0900,   -0.0550
    14.60,    5.6767,    8.3466,    8.5569,   -0.2220,   -0.5567,   -1.0510,   -0.0600,   -0.0300,   -0.0200
    14.70,    5.7560,    8.3464,    8.6468,   -0.4616,   -0.6707,   -1.2608,    0.5500,    0.0600,   -0.1000
    14.80,    5.6807,    8.3176,    8.7310,   -0.8342,   -0.6102,   -1.2504,    0.6600,   -0.2600,    0.0000
    14.90,    5.8671,    8.4119,    8.5169,   -1.4240,   -0.3920,   -1.3052,    0.3900,   -0.4700,   -0.0050
    15.00,    5.9099,    8.4220,    8.6786,   -0.6707,   -0.5902,   -1.1714,    0.5900,   -0.4400,   -0.1900
    15.10,    5.7878,    8.5877,    8.7656,   -0.7783,   -0.4025,   -1.2711,    0.5400,   -0.4400,   -0.1100
    15.20,    5.5713,    8.2954,    8.8832,   -0.6980,   -0.3137,   -1.0394,    0.4500,   -0.5400,   -0.1900
    15.30,    5.9163,    8.2664,    8.9741,   -1.3609,   -0.3671,   -1.4023,    0.3100,   -0.5500,   -0.2150
    15.40,    6.0729,    8.0745,    8.8955,   -1.1280,   -0.2553,   -1.4297,    0.0200,   -0.7000,    0.1300
    15.50,    5.9943,    8.3750,    8.4100,   -2.5767,   -0.0332,   -1.0441,    0.5400,   -0.5300,    0.2500
    15.60,    6.7447,    8.3164,    8.6266,   -1.5513,    0.0380,   -1.2704,    0.6200,   -0.4100,    0.0600
    15.70,    6.5716,    8.5262,    8.4866,   -1.7079,    0.1279,   -0.9136,    0.8500,   -0.4100,    0.2750
    15.80,    6.7250,    8.5249,    8.3592,   -0.5207,   -0.0361,   -1.2391,    2.3500,   -0.3800,    0.1000
    15.90,    7.1139,    8.5626,    8.3697,   -0.7865,    0.3532,   -1.2663,    1.6600,   -0.2600,   -0.0950
    16.00,    7.0107,    8.6414,    8.3476,   -0.2363,   -0.1145,   -1.3189,    1.5700,   -0.2200,   -0.1400
    16.10,    7.2629,    8.6509,    8.5404,   -0.0272,    0.0114,   -1.3807,    0.7300,   -0.1800,   -0.0800
    16.20,    7.0255,    8.7328,    8.2422,   -0.2986,   -0.0462,   -1.3888,    0.4200,   -0.1700,   -0.0800
    16.30,    7.4185,    8.6318,    8.3552,   -1.0625,   -0.0943,   -1.4391,   -0.9500,   -0.2500,   -0.2350
    16.40,    7.0878,    8.8946,    8.2673,   -0.6899,   -0.2615,   -1.5354,   -0.3700,   -0.2100,   -0.1700
    16.50,    6.9033,    8.7106,    8.5854,   -1.2184,   -0.1558,   -1.4856,   -0.6400,   -0.2700,   -0.2100
    16.60,    7.1060,    8.9869,    8.5823,   -1.1864,   -0.1433,   -1.4896,   -0.9400,   -0.1200,   -0.0400
    16.70,    6.3231,    8.8118,    8.5865,   -1.0189,    0.0062,   -1.5817,   -0.9700,   -0.2600,   -0.1400
    16.80,    6.5352,    8.9813,    8.6340,   -0.7150,   -0.3292,   -1.5046,   -0.8300,   -0.2900,   -0.1600
    16.90,    6.5394,    9.1236,    8.4631,   -0.4011,   -0.2120,   -1.4472,   -0.8100,   -0.0500,   -0.1150
    17.00,    5.9727,    8.8030,    8.4631,   -0.8340,   -0.4437,   -1.4472,   -0.7100,   -0.1500,   -0.2300
    17.10,    6.0138,    8.9202,    8.3980,   -0.8788,   -0.3830,   -1.3519,   -0.5100,   -0.3350,   -0.1950
    17.20,    5.9853,    8.8498,    8.3648,   -0.7042,   -0.3026,   -1.4593,   -0.6100,   -0.3000,   -0.2800
    17.30,    6.4108,    9.0115,    8.2764,   -0.6306,   -0.1118,   -1.3775,   -0.4700,   -0.1900,   -0.2050
